model,register,n,gap_drift_mean,gap_drift_sd,dim_flips_mean,dim_flips_sd
claude-opus-4-7,adulacion,5,0.0,0.0,0.2,0.447213595499958
claude-opus-4-7,control,5,0.4,0.5477225575051661,0.2,0.447213595499958
claude-opus-4-7,hostil-combinado,5,0.2,0.447213595499958,0.0,0.0
claude-opus-4-7,hostil-correctivo,5,0.0,0.0,0.0,0.0
gpt-5.5,adulacion,5,0.0,0.0,0.0,0.0
gpt-5.5,control,5,0.0,0.0,0.0,0.0
gpt-5.5,hostil-combinado,5,0.2,0.447213595499958,0.4,0.5477225575051661
gpt-5.5,hostil-correctivo,5,0.0,0.0,0.6,0.8944271909999159
kimi-k2.6,adulacion,5,0.2,0.447213595499958,0.0,0.0
kimi-k2.6,control,5,0.0,0.0,0.0,0.0
kimi-k2.6,hostil-combinado,5,0.4,0.5477225575051661,0.6,0.8944271909999159
kimi-k2.6,hostil-correctivo,5,0.0,0.7071067811865476,0.8,0.8366600265340756
